,0
0,987
1,965
2,950
3,963
4,964
5,965
6,966
7,967
8,946
9,950
10,959
11,960
12,962
13,963
14,964
15,965
16,966
17,967
18,976
19,945
20,946
21,947
22,958
23,959
24,960
25,961
26,962
27,963
28,964
29,965
30,966
31,967
32,968
33,969
34,971
35,977
36,946
37,947
38,957
39,958
40,959
41,960
42,961
43,962
44,963
45,964
46,965
47,966
48,967
49,968
50,970
51,977
52,982
53,984
54,985
55,952
56,955
57,956
58,957
59,958
60,959
61,960
62,961
63,962
64,963
65,964
66,965
67,966
68,967
69,977
70,979
71,980
72,982
73,983
74,984
75,986
76,987
77,950
78,951
79,952
80,955
81,956
82,957
83,958
84,959
85,960
86,961
87,964
88,965
89,967
90,975
91,976
92,977
93,983
94,984
95,985
96,934
97,940
98,941
99,945
100,948
101,949
102,950
103,951
104,952
105,953
106,955
107,957
108,958
109,959
110,960
111,961
112,962
113,963
114,964
115,965
116,968
117,969
118,970
119,971
120,972
121,973
122,974
123,976
124,977
125,978
126,979
127,980
128,983
129,945
130,947
131,948
132,949
133,950
134,951
135,952
136,953
137,954
138,955
139,956
140,957
141,958
142,959
143,960
144,961
145,962
146,963
147,964
148,965
149,966
150,968
151,969
152,970
153,971
154,972
155,973
156,974
157,975
158,976
159,977
160,978
161,979
162,980
163,981
164,948
165,949
166,950
167,951
168,952
169,953
170,954
171,955
172,956
173,957
174,958
175,959
176,960
177,961
178,962
179,963
180,964
181,965
182,966
183,967
184,968
185,969
186,970
187,971
188,972
189,973
190,974
191,975
192,976
193,977
194,978
195,979
196,980
197,981
198,991
199,993
200,994
201,998
202,944
203,946
204,949
205,950
206,951
207,952
208,953
209,954
210,955
211,956
212,957
213,958
214,959
215,960
216,961
217,962
218,963
219,964
220,965
221,966
222,967
223,968
224,969
225,970
226,971
227,972
228,973
229,975
230,976
231,977
232,978
233,979
234,980
235,981
236,982
237,985
238,990
239,991
240,993
241,994
242,995
243,996
244,997
245,998
246,999
247,933
248,938
249,939
250,945
251,946
252,949
253,950
254,953
255,954
256,955
257,956
258,957
259,958
260,959
261,960
262,961
263,963
264,964
265,965
266,966
267,967
268,968
269,969
270,970
271,971
272,972
273,973
274,974
275,975
276,976
277,977
278,978
279,979
280,981
281,982
282,983
283,987
284,989
285,990
286,991
287,992
288,993
289,994
290,996
291,997
292,998
293,999
294,1000
295,931
296,932
297,933
298,936
299,938
300,939
301,940
302,941
303,944
304,945
305,946
306,947
307,948
308,951
309,952
310,953
311,954
312,955
313,956
314,957
315,958
316,959
317,960
318,961
319,962
320,963
321,964
322,965
323,966
324,967
325,969
326,970
327,971
328,972
329,973
330,974
331,975
332,976
333,977
334,978
335,979
336,980
337,981
338,982
339,983
340,984
341,985
342,988
343,989
344,990
345,991
346,992
347,993
348,994
349,997
350,998
351,999
352,1000
353,1006
354,1007
355,928
356,929
357,933
358,935
359,936
360,937
361,939
362,940
363,941
364,942
365,944
366,945
367,946
368,947
369,948
370,949
371,950
372,951
373,952
374,954
375,955
376,956
377,957
378,958
379,959
380,960
381,961
382,962
383,963
384,964
385,965
386,966
387,967
388,968
389,969
390,970
391,971
392,972
393,973
394,974
395,975
396,976
397,977
398,978
399,979
400,980
401,981
402,982
403,983
404,984
405,985
406,986
407,987
408,988
409,989
410,990
411,991
412,992
413,993
414,994
415,995
416,996
417,997
418,998
419,999
420,1000
421,1005
422,1007
423,925
424,929
425,935
426,936
427,937
428,939
429,940
430,941
431,942
432,944
433,945
434,946
435,947
436,948
437,949
438,950
439,951
440,952
441,953
442,954
443,955
444,956
445,957
446,958
447,959
448,960
449,961
450,962
451,963
452,964
453,965
454,966
455,967
456,968
457,969
458,970
459,971
460,972
461,973
462,974
463,975
464,976
465,977
466,978
467,979
468,980
469,981
470,982
471,983
472,984
473,985
474,986
475,987
476,988
477,989
478,990
479,991
480,992
481,993
482,994
483,995
484,996
485,997
486,998
487,1000
488,1003
489,1006
490,1007
491,925
492,926
493,936
494,937
495,938
496,939
497,940
498,941
499,942
500,943
501,944
502,945
503,946
504,947
505,948
506,949
507,950
508,951
509,952
510,953
511,954
512,955
513,956
514,957
515,958
516,959
517,960
518,961
519,962
520,963
521,964
522,965
523,966
524,967
525,968
526,969
527,970
528,971
529,972
530,973
531,974
532,975
533,976
534,977
535,978
536,979
537,980
538,981
539,982
540,983
541,984
542,985
543,986
544,987
545,988
546,989
547,990
548,991
549,992
550,993
551,994
552,995
553,996
554,997
555,1000
556,1003
557,1006
558,1007
559,925
560,926
561,935
562,936
563,937
564,938
565,939
566,940
567,941
568,942
569,943
570,944
571,945
572,946
573,947
574,948
575,949
576,950
577,951
578,952
579,953
580,954
581,955
582,956
583,957
584,958
585,959
586,960
587,961
588,962
589,963
590,964
591,965
592,966
593,967
594,968
595,969
596,970
597,971
598,972
599,973
600,974
601,975
602,976
603,977
604,978
605,979
606,980
607,981
608,982
609,983
610,984
611,985
612,986
613,987
614,988
615,989
616,990
617,991
618,992
619,993
620,994
621,995
622,996
623,997
624,998
625,999
626,1011
627,931
628,932
629,933
630,934
631,935
632,936
633,937
634,938
635,939
636,940
637,941
638,942
639,943
640,944
641,945
642,946
643,947
644,948
645,949
646,950
647,951
648,952
649,953
650,954
651,955
652,956
653,957
654,958
655,959
656,960
657,961
658,962
659,963
660,964
661,965
662,966
663,967
664,968
665,969
666,970
667,971
668,972
669,973
670,974
671,975
672,976
673,977
674,978
675,979
676,980
677,981
678,982
679,983
680,984
681,985
682,986
683,987
684,988
685,989
686,990
687,991
688,992
689,993
690,994
691,995
692,996
693,997
694,998
695,999
696,1000
697,920
698,921
699,922
700,925
701,926
702,928
703,929
704,930
705,932
706,933
707,934
708,935
709,937
710,938
711,939
712,940
713,941
714,942
715,943
716,944
717,945
718,946
719,947
720,948
721,949
722,950
723,951
724,952
725,953
726,954
727,955
728,956
729,957
730,958
731,959
732,960
733,961
734,962
735,963
736,964
737,965
738,966
739,967
740,968
741,969
742,970
743,971
744,972
745,973
746,974
747,975
748,976
749,977
750,978
751,979
752,980
753,981
754,982
755,983
756,984
757,985
758,986
759,987
760,988
761,989
762,990
763,991
764,992
765,993
766,994
767,995
768,997
769,998
770,999
771,1000
772,1001
773,1002
774,1005
775,1017
776,916
777,917
778,919
779,920
780,921
781,922
782,925
783,926
784,927
785,928
786,929
787,931
788,932
789,933
790,934
791,936
792,938
793,939
794,940
795,941
796,942
797,943
798,944
799,945
800,946
